startHeat,endHeat
2024-11-24T07:00:00Z,2024-11-24T12:00:00Z
2024-11-24T13:00:00Z,2024-11-24T17:30:00Z
2024-11-25T18:00:00Z,2024-11-25T20:00:00Z
2024-11-26T16:00:00Z,2024-11-26T18:30:00Z
2024-11-27T08:30:00Z,2024-11-27T10:30:00Z
2024-11-28T12:00:00Z,2024-11-28T16:00:00Z
2024-11-28T18:00:00Z,2024-11-28T21:00:00Z
2024-11-29T07:30:00Z,2024-11-29T13:00:00Z
2024-11-30T09:00:00Z,2024-11-30T19:30:00Z
2024-12-01T07:00:00Z,2024-12-01T19:30:00Z
2024-12-02T18:00:00Z,2024-12-02T20:00:00Z
2024-12-03T16:00:00Z,2024-12-03T18:30:00Z
2024-12-04T17:30:00Z,2024-12-04T20:30:00Z
2024-12-05T12:30:00Z,2024-12-05T14:30:00Z
2024-12-05T18:00:00Z,2024-12-05T21:00:00Z
2024-12-07T09:00:00Z,2024-12-07T11:30:00Z
2024-12-07T17:00:00Z,2024-12-07T21:30:00Z
