startUse,endUse,label,annotation_position
2024-11-24T08:00:00Z,2024-11-24T12:00:00Z,Church,top left
2024-11-24T14:00:00Z,2024-11-24T18:00:00Z,Hire ,bottom left
2024-11-25T19:00:00Z,2024-11-25T20:30:00Z,Hire,top left
2024-11-26T17:00:00Z,2024-11-26T19:00:00Z,Hire,bottom left
2024-11-27T09:00:00Z,2024-11-27T11:00:00Z,Church,top left
2024-11-28T13:00:00Z,2024-11-28T16:00:00Z,Hire,bottom left
2024-11-28T19:00:00Z,2024-11-28T21:30:00Z,Hire,top left
2024-11-29T08:30:00Z,2024-11-29T13:30:00Z,Church,bottom left
2024-11-30T10:00:00Z,2024-11-30T11:00:00Z,Hire,top left
2024-11-30T12:00:00Z,2024-11-30T13:00:00Z,Church,bottom left
2024-11-30T14:00:00Z,2024-11-30T17:00:00Z,Hire,top left
2024-11-30T17:30:00Z,2024-11-30T20:00:00Z,Hire,bottom left
2024-12-01T08:00:00Z,2024-12-01T16:30:00Z,Church,top left
2024-12-01T18:00:00Z,2024-12-01T20:00:00Z,Hire,bottom left
2024-12-02T19:00:00Z,2024-12-02T20:30:00Z,Hire,top left
2024-12-03T17:00:00Z,2024-12-03T19:00:00Z,Hire,bottom left
2024-12-04T18:30:00Z,2024-12-04T21:00:00Z,Hire,top left
2024-12-05T13:00:00Z,2024-12-05T14:00:00Z,Hire,bottom left
2024-12-05T19:00:00Z,2024-12-05T21:30:00Z,Hire,top left
2024-12-06T00:00:00Z,2024-12-06T00:00:00Z,Hire,bottom left
2024-12-07T10:00:00Z,2024-12-07T11:00:00Z,Hire,top left
2024-12-07T18:00:00Z,2024-12-07T22:00:00Z,Church,bottom left
