E6,Time,Celsius(�C),Serial Number
1,2023-10-19 12:00:00,16,52269746
2,2023-10-19 12:05:00,16,
3,2023-10-19 12:10:00,16,
4,2023-10-19 12:15:00,16,
5,2023-10-19 12:20:00,16,
6,2023-10-19 12:25:00,16,
7,2023-10-19 12:30:00,16,
8,2023-10-19 12:35:00,16,
9,2023-10-19 12:40:00,16,
10,2023-10-19 12:45:00,16,
11,2023-10-19 12:50:00,16,
12,2023-10-19 12:55:00,16,
13,2023-10-19 13:00:00,16,
14,2023-10-19 13:05:00,16,
15,2023-10-19 13:10:00,16,
16,2023-10-19 13:15:00,16,
17,2023-10-19 13:20:00,16,
18,2023-10-19 13:25:00,16,
19,2023-10-19 13:30:00,16,
20,2023-10-19 13:35:00,16,
21,2023-10-19 13:40:00,16,
22,2023-10-19 13:45:00,16,
23,2023-10-19 13:50:00,16,
24,2023-10-19 13:55:00,16,
25,2023-10-19 14:00:00,16,
26,2023-10-19 14:05:00,16,
27,2023-10-19 14:10:00,16,
28,2023-10-19 14:15:00,16,
29,2023-10-19 14:20:00,16,
30,2023-10-19 14:25:00,16,
31,2023-10-19 14:30:00,16,
32,2023-10-19 14:35:00,16,
33,2023-10-19 14:40:00,16,
34,2023-10-19 14:45:00,16,
35,2023-10-19 14:50:00,16,
36,2023-10-19 14:55:00,16,
37,2023-10-19 15:00:00,16,
38,2023-10-19 15:05:00,16,
39,2023-10-19 15:10:00,16,
40,2023-10-19 15:15:00,16,
41,2023-10-19 15:20:00,16,
42,2023-10-19 15:25:00,16,
43,2023-10-19 15:30:00,16,
44,2023-10-19 15:35:00,16,
45,2023-10-19 15:40:00,16,
46,2023-10-19 15:45:00,16,
47,2023-10-19 15:50:00,16,
48,2023-10-19 15:55:00,16,
49,2023-10-19 16:00:00,16,
50,2023-10-19 16:05:00,16,
51,2023-10-19 16:10:00,16,
52,2023-10-19 16:15:00,16,
53,2023-10-19 16:20:00,16,
54,2023-10-19 16:25:00,16,
55,2023-10-19 16:30:00,16,
56,2023-10-19 16:35:00,16,
57,2023-10-19 16:40:00,16,
58,2023-10-19 16:45:00,16,
59,2023-10-19 16:50:00,16,
60,2023-10-19 16:55:00,16,
61,2023-10-19 17:00:00,16,
