startUse,endUse,label,annotation_position
2024-11-20T10:30:00Z,2024-11-20T16:30:00Z, cafe,
2024-11-21T10:30:00Z,2024-11-21T16:30:00Z, cafe,
2024-11-22T10:30:00Z,2024-11-22T16:30:00Z, cafe,
2024-11-23T10:30:00Z,2024-11-23T16:30:00Z, cafe,
2024-11-25T10:30:00Z,2024-11-25T16:30:00Z, cafe,
2024-11-26T10:30:00Z,2024-11-26T16:30:00Z, cafe,
2024-11-27T10:30:00Z,2024-11-27T16:30:00Z, cafe,
2024-11-28T10:30:00Z,2024-11-28T16:30:00Z, cafe,
2024-11-29T10:30:00Z,2024-11-29T16:30:00Z, cafe,
2024-11-30T10:30:00Z,2024-11-30T16:30:00Z, cafe,


