timestamp,total_kW,kwh
2023-02-16,0.9612739777652157,23.070575466365177
2023-02-17,1.2318275494672755,29.563861187214613
2023-02-18,1.0000050486022154,24.00012116645317
2023-02-19,1.2978295798065298,31.147909915356713
2023-02-20,1.2239686316108502,29.375247158660407
2023-02-21,1.174280665598046,28.182735974353104
2023-02-22,2.048397481458591,49.16153955500618
2023-02-23,3.396587630509285,81.51810313222285
2023-02-24,2.934739432680783,70.4337463843388
2023-02-25,2.6818371644430155,64.36409194663237
2023-02-26,2.7309893356505253,65.5437440556126
2023-02-27,1.0448166981488478,25.075600755572346
2023-02-28,1.1936500076184673,28.647600182843213
2023-03-01,1.0678462397617274,25.62830975428146
2023-03-09,1.1759534434032426,28.22288264167782
2023-03-10,1.2072312693732516,28.973550464958038
2023-03-11,0.9454406741233373,22.690576178960097
2023-03-12,1.4886681352069882,35.728035244967714
2023-03-13,1.006131847374386,24.147164336985266
2023-03-14,1.2179349143809668,29.2304379451432
2023-03-15,1.0769531886024424,25.846876526458615
2023-03-16,1.6274430534351145,39.05863328244275
2023-03-17,1.3849985409307326,33.23996498233758
2023-03-18,0.9828254098974321,23.58780983753837
2023-03-19,1.405976883887157,33.743445213291764
2023-03-20,1.2537742722146015,30.090582533150435
2023-03-21,1.1402307050163163,27.36553692039159
2023-03-22,0.990421302936514,23.770111270476335
2023-03-23,1.5059098927838188,36.14183742681165
2023-03-24,1.7943027868852457,43.063266885245895

