time,temperature,rh
03-02-2025 13:30,10.9,66
03-02-2025 14:00,10.8,66
03-02-2025 14:30,10.9,66
03-02-2025 15:00,10.9,66
03-02-2025 15:30,10.9,66
03-02-2025 16:00,10.9,66
03-02-2025 16:30,10.9,66
03-02-2025 17:00,10.8,66
03-02-2025 17:30,10.9,66
03-02-2025 18:00,11.2,67
03-02-2025 18:30,11.5,68
03-02-2025 19:00,11.8,68
03-02-2025 19:30,11.9,69
03-02-2025 20:00,12.1,69
03-02-2025 20:30,12.2,69
03-02-2025 21:00,12.2,69
03-02-2025 21:30,12.1,69
03-02-2025 22:00,12,69
03-02-2025 22:30,11.9,69
03-02-2025 23:00,11.9,69
03-02-2025 23:30,11.9,69
04-02-2025 00:00,11.8,69
04-02-2025 00:30,11.7,69
04-02-2025 01:00,11.8,69
04-02-2025 01:30,11.7,69
04-02-2025 02:00,11.7,69
04-02-2025 02:30,11.6,69
04-02-2025 03:00,11.6,69
04-02-2025 03:30,11.5,69
04-02-2025 04:00,11.5,69
04-02-2025 04:30,11.5,69
04-02-2025 05:00,11.5,68
04-02-2025 05:30,11.5,68
04-02-2025 06:00,11.5,68
04-02-2025 06:30,11.5,68
04-02-2025 07:00,11.5,68
04-02-2025 07:30,11.5,68
04-02-2025 08:00,11.5,68
04-02-2025 08:30,11.5,68
04-02-2025 09:00,11.5,68
04-02-2025 09:30,11.5,68
04-02-2025 10:00,11.5,68
04-02-2025 10:30,11.4,68
04-02-2025 11:00,11.4,68
04-02-2025 11:30,11.4,68
04-02-2025 12:00,11.3,68
04-02-2025 12:30,11.4,68
04-02-2025 13:00,11.4,68
04-02-2025 13:30,11.4,68
04-02-2025 14:00,11.4,68
04-02-2025 14:30,11.4,68
04-02-2025 15:00,11.4,68
04-02-2025 15:30,11.3,68
04-02-2025 16:00,11.4,68
04-02-2025 16:30,11.7,69
04-02-2025 17:00,11.8,69
04-02-2025 17:30,12.1,69
04-02-2025 18:00,12.3,69
04-02-2025 18:30,12.5,69
04-02-2025 19:00,12.5,69
04-02-2025 19:30,12.4,70
04-02-2025 20:00,12.3,70
04-02-2025 20:30,12.2,70
04-02-2025 21:00,12.2,70
04-02-2025 21:30,12.1,70
04-02-2025 22:00,12,69
04-02-2025 22:30,11.9,69
04-02-2025 23:00,11.9,69
04-02-2025 23:30,11.8,69
05-02-2025 00:00,11.7,69
05-02-2025 00:30,11.6,69
05-02-2025 01:00,11.6,69
05-02-2025 01:30,11.5,69
05-02-2025 02:00,11.5,69
05-02-2025 02:30,11.5,69
05-02-2025 03:00,11.3,69
05-02-2025 03:30,11.3,69
05-02-2025 04:00,11.5,69
05-02-2025 04:30,11.5,69
05-02-2025 05:00,11.4,69
05-02-2025 05:30,11.3,69
05-02-2025 06:00,11.3,69
05-02-2025 06:30,11.3,69
05-02-2025 07:00,11.2,69
05-02-2025 07:30,11.2,68
05-02-2025 08:00,11.1,67
05-02-2025 08:30,11.2,67
05-02-2025 09:00,11.2,68
05-02-2025 09:30,11.1,68
05-02-2025 10:00,11.1,70
05-02-2025 10:30,11.1,69
05-02-2025 11:00,11.1,69
05-02-2025 11:30,11,69
05-02-2025 12:00,11,69
05-02-2025 12:30,10.9,69
05-02-2025 13:00,10.9,69
05-02-2025 13:30,10.9,69
05-02-2025 14:00,10.9,69
05-02-2025 14:30,10.8,69
05-02-2025 15:00,10.9,69
05-02-2025 15:30,10.8,69
05-02-2025 16:00,10.8,69
05-02-2025 16:30,11,69
05-02-2025 17:00,11,69
05-02-2025 17:30,11.1,69
05-02-2025 18:00,11.2,69
05-02-2025 18:30,11.5,69
05-02-2025 19:00,11.8,69
05-02-2025 19:30,12,69
05-02-2025 20:00,12.2,70
05-02-2025 20:30,12.3,70
05-02-2025 21:00,12.2,70
05-02-2025 21:30,12,70
05-02-2025 22:00,11.9,70
05-02-2025 22:30,11.9,70
05-02-2025 23:00,11.8,70
05-02-2025 23:30,11.6,69
06-02-2025 00:00,11.6,69
06-02-2025 00:30,11.5,69
06-02-2025 01:00,11.5,69
06-02-2025 01:30,11.3,69
06-02-2025 02:00,11.3,69
06-02-2025 02:30,11.3,69
06-02-2025 03:00,11.3,69
06-02-2025 03:30,11.2,68
06-02-2025 04:00,11.1,67
06-02-2025 04:30,11.1,67
06-02-2025 05:00,11.1,67
06-02-2025 05:30,11.1,67
06-02-2025 06:00,11,66
06-02-2025 06:30,11,66
06-02-2025 07:00,10.9,66
06-02-2025 07:30,10.9,66
06-02-2025 08:00,11,66
06-02-2025 08:30,11,65
06-02-2025 09:00,10.9,65
06-02-2025 09:30,10.8,65
06-02-2025 10:00,10.8,65
06-02-2025 10:30,10.8,65
06-02-2025 11:00,10.9,65
06-02-2025 11:30,10.8,65
06-02-2025 12:00,10.8,65
06-02-2025 12:30,10.8,65
06-02-2025 13:00,10.7,65
06-02-2025 13:30,10.6,66
06-02-2025 14:00,10.6,66
06-02-2025 14:30,10.7,66
06-02-2025 15:00,10.5,66
06-02-2025 15:30,10.5,66
06-02-2025 16:00,10.5,66
06-02-2025 16:30,10.5,66
06-02-2025 17:00,10.5,75
06-02-2025 17:30,10.5,66
06-02-2025 18:00,10.5,75
06-02-2025 18:30,10.7,66
06-02-2025 19:00,11,66
06-02-2025 19:30,11.2,66
06-02-2025 20:00,11.3,66
06-02-2025 20:30,11.5,66
06-02-2025 21:00,11.5,66
06-02-2025 21:30,11.6,66
06-02-2025 22:00,11.5,66
06-02-2025 22:30,11.4,66
06-02-2025 23:00,11.3,66
06-02-2025 23:30,11.2,66
07-02-2025 00:00,11.1,66
07-02-2025 00:30,11.1,66
07-02-2025 01:00,11,65
07-02-2025 01:30,10.9,65
07-02-2025 02:00,10.8,65
07-02-2025 02:30,10.8,65
07-02-2025 03:00,10.6,64
07-02-2025 03:30,10.8,64
07-02-2025 04:00,10.6,64
07-02-2025 04:30,10.5,63
07-02-2025 05:00,10.5,63
07-02-2025 05:30,10.6,62
07-02-2025 06:00,10.6,62
07-02-2025 06:30,10.5,62
07-02-2025 07:00,10.5,62
07-02-2025 07:30,10.5,62
07-02-2025 08:00,10.5,61
07-02-2025 08:30,10.4,61
07-02-2025 09:00,10.3,61
07-02-2025 09:30,10.4,62
07-02-2025 10:00,10.3,63
07-02-2025 10:30,10.3,62
07-02-2025 11:00,10.2,62
07-02-2025 11:30,10.3,64
07-02-2025 12:00,10.1,64
07-02-2025 12:30,10.1,64
07-02-2025 13:00,10.3,64
07-02-2025 13:30,10.5,64
07-02-2025 14:00,10.8,64
07-02-2025 14:30,11,64
07-02-2025 15:00,11.1,64
07-02-2025 15:30,11.1,64
07-02-2025 16:00,11.1,65
07-02-2025 16:30,10.9,65
07-02-2025 17:00,10.8,65
07-02-2025 17:30,10.8,66
07-02-2025 18:00,10.7,65
07-02-2025 18:30,10.5,64
07-02-2025 19:00,10.5,71
07-02-2025 19:30,10.4,63
07-02-2025 20:00,10.3,63
07-02-2025 20:30,10.3,62
07-02-2025 21:00,10.2,62
07-02-2025 21:30,10.1,62
07-02-2025 22:00,10.1,62
07-02-2025 22:30,10.1,62
07-02-2025 23:00,10,62
07-02-2025 23:30,9.9,61
08-02-2025 00:00,9.9,61
08-02-2025 00:30,9.9,61
08-02-2025 01:00,9.9,62
08-02-2025 01:30,9.9,62
08-02-2025 02:00,9.9,62
08-02-2025 02:30,9.8,62
08-02-2025 03:00,9.8,62
08-02-2025 03:30,9.8,62
08-02-2025 04:00,9.8,62
08-02-2025 04:30,9.9,62
08-02-2025 05:00,9.8,62
08-02-2025 05:30,9.7,62
08-02-2025 06:00,9.6,62
08-02-2025 06:30,9.6,62
08-02-2025 07:00,9.5,62
08-02-2025 07:30,9.7,62
08-02-2025 08:00,9.8,62
08-02-2025 08:30,9.6,62
08-02-2025 09:00,10.1,65
08-02-2025 09:30,9.9,65
08-02-2025 10:00,9.8,65
08-02-2025 10:30,9.8,64
08-02-2025 11:00,10.1,65
08-02-2025 11:30,10.9,66
08-02-2025 12:00,10.9,66
08-02-2025 12:30,11,66
08-02-2025 13:00,11.1,66
08-02-2025 13:30,11.2,65
08-02-2025 14:00,11.5,66
08-02-2025 14:30,11.6,66
08-02-2025 15:00,12,67
08-02-2025 15:30,12.1,69
08-02-2025 16:00,12.3,66
08-02-2025 16:30,11.8,70
08-02-2025 17:00,11.8,69
08-02-2025 17:30,11.8,69
08-02-2025 18:00,11.8,68
08-02-2025 18:30,11.8,68
08-02-2025 19:00,11.9,67
08-02-2025 19:30,11.9,67
08-02-2025 20:00,12,67
08-02-2025 20:30,12,67
08-02-2025 21:00,12.1,66
08-02-2025 21:30,12.1,66
08-02-2025 22:00,12.1,66
08-02-2025 22:30,12.2,66
08-02-2025 23:00,12.2,66
08-02-2025 23:30,12.3,66
09-02-2025 00:00,12.3,66
09-02-2025 00:30,12.3,66
09-02-2025 01:00,12.3,66
09-02-2025 01:30,12.3,66
09-02-2025 02:00,12.4,66
09-02-2025 02:30,12.5,65
09-02-2025 03:00,12.6,63
09-02-2025 03:30,12.6,63
09-02-2025 04:00,12.6,63
09-02-2025 04:30,12.7,63
09-02-2025 05:00,12.7,62
09-02-2025 05:30,12.7,62
09-02-2025 06:00,12.7,62
09-02-2025 06:30,12.7,62
09-02-2025 07:00,12.8,61
09-02-2025 07:30,13.1,63
09-02-2025 08:00,13.2,64
09-02-2025 08:30,13,65
09-02-2025 09:00,12.9,64
09-02-2025 09:30,12.9,65
09-02-2025 10:00,13.3,66
09-02-2025 10:30,13.7,67
09-02-2025 11:00,12.6,57
09-02-2025 11:30,12.1,56
09-02-2025 12:00,11.9,55
09-02-2025 12:30,13,62
09-02-2025 13:00,12.7,61
09-02-2025 13:30,12.5,62
09-02-2025 14:00,12.3,62
09-02-2025 14:30,12.1,62
09-02-2025 15:00,12.5,65
09-02-2025 15:30,12.9,63
09-02-2025 16:00,13,61
09-02-2025 16:30,13,60
09-02-2025 17:00,12.8,61
09-02-2025 17:30,12.8,61
09-02-2025 18:00,12.5,62
09-02-2025 18:30,12.3,61
09-02-2025 19:00,12.2,60
09-02-2025 19:30,12.2,60
09-02-2025 20:00,12.1,59
09-02-2025 20:30,12,59
09-02-2025 21:00,12,59
09-02-2025 21:30,11.9,59
09-02-2025 22:00,11.9,59
09-02-2025 22:30,11.8,59
09-02-2025 23:00,11.8,58
09-02-2025 23:30,11.6,58
10-02-2025 00:00,11.6,58
10-02-2025 00:30,11.6,57
10-02-2025 01:00,11.5,57
10-02-2025 01:30,11.5,57
10-02-2025 02:00,11.5,57
10-02-2025 02:30,11.4,56
10-02-2025 03:00,11.3,56
10-02-2025 03:30,11.3,56
10-02-2025 04:00,11.3,56
10-02-2025 04:30,11.2,55
10-02-2025 05:00,11.2,55
10-02-2025 05:30,11.1,55
10-02-2025 06:00,11.1,54
10-02-2025 06:30,11.1,54
10-02-2025 07:00,11.1,54
10-02-2025 07:30,11,54
10-02-2025 08:00,10.9,54
10-02-2025 08:30,10.9,54
10-02-2025 09:00,10.9,54
10-02-2025 09:30,10.8,54
10-02-2025 10:00,10.8,54
10-02-2025 10:30,10.8,55
10-02-2025 11:00,10.8,55
10-02-2025 11:30,10.8,55
10-02-2025 12:00,10.7,54
10-02-2025 12:30,10.7,54
10-02-2025 13:00,10.6,54
10-02-2025 13:30,10.5,54
10-02-2025 14:00,10.5,54
10-02-2025 14:30,10.5,53
10-02-2025 15:00,10.5,53
10-02-2025 15:30,10.5,54
10-02-2025 16:00,10.3,55
10-02-2025 16:30,10.3,54
10-02-2025 17:00,10.3,54
10-02-2025 17:30,10.3,54
10-02-2025 18:00,10.3,54
10-02-2025 18:30,10.5,54
10-02-2025 19:00,10.8,54
10-02-2025 19:30,11,55
10-02-2025 20:00,11.3,55
10-02-2025 20:30,11.3,55
10-02-2025 21:00,11.2,55
10-02-2025 21:30,11.2,55
10-02-2025 22:00,11.1,56
10-02-2025 22:30,11,55
10-02-2025 23:00,10.9,55
10-02-2025 23:30,10.8,55
11-02-2025 00:00,10.8,55
11-02-2025 00:30,10.6,55
11-02-2025 01:00,10.5,55
11-02-2025 01:30,10.5,55
11-02-2025 02:00,10.5,55
11-02-2025 02:30,10.4,55
11-02-2025 03:00,10.3,55
11-02-2025 03:30,10.3,55
11-02-2025 04:00,10.2,55
11-02-2025 04:30,10.2,55
11-02-2025 05:00,10.2,55
11-02-2025 05:30,10.1,55
11-02-2025 06:00,10.1,55
11-02-2025 06:30,10.1,55
11-02-2025 07:00,10,55
11-02-2025 07:30,10.1,55
11-02-2025 08:00,10,56
11-02-2025 08:30,9.9,55
11-02-2025 09:00,10,55
11-02-2025 09:30,9.9,55
11-02-2025 10:00,9.9,56
11-02-2025 10:30,9.9,56
11-02-2025 11:00,10,56
11-02-2025 11:30,10,56
