timestamp,temperature,windspeed,rh
2023-03-04T06:50Z,-1,2,93
2023-03-04T07:20Z,0,1,93
2023-03-04T08:20Z,1,1,93
2023-03-04T08:50Z,2,7,87
2023-03-04T09:20Z,3,6,87
2023-03-04T09:50Z,4,5,75
2023-03-04T10:20Z,5,6,70
2023-03-04T10:50Z,6,5,71
2023-03-04T11:20Z,6,6,66
2023-03-04T11:50Z,7,5,66
2023-03-04T12:20Z,7,3,66
2023-03-04T12:50Z,7,3,61
2023-03-04T13:20Z,8,2,57
2023-03-04T13:50Z,7,2,61
2023-03-04T14:20Z,8,3,57
2023-03-04T14:50Z,8,5,57
2023-03-04T15:20Z,8,5,57
2023-03-04T15:50Z,8,6,62
2023-03-04T16:20Z,7,5,66
2023-03-04T16:50Z,7,3,66
2023-03-04T17:20Z,7,3,66
2023-03-04T17:50Z,6,5,71
2023-03-04T18:20Z,6,5,71
2023-03-04T18:50Z,6,6,66
2023-03-04T19:20Z,5,3,70
2023-03-04T19:50Z,5,6,70
2023-03-04T20:20Z,5,7,76
2023-03-04T20:50Z,5,6,70
2023-03-04T21:20Z,4,3,81
2023-03-04T21:50Z,4,3,75
2023-03-04T22:20Z,4,6,75
2023-03-04T22:50Z,4,6,75
2023-03-04T23:20Z,4,7,75
2023-03-05T00:50Z,3,6,75
2023-03-05T05:20Z,3,6,81
2023-03-05T05:50Z,2,6,87
2023-03-05T06:20Z,2,6,87
2023-03-05T06:50Z,3,6,81
2023-03-05T07:20Z,2,6,87
2023-03-05T07:50Z,3,7,87
2023-03-05T08:20Z,4,7,81
2023-03-05T09:20Z,5,6,81
2023-03-05T09:50Z,6,8,76
2023-03-05T10:20Z,7,8,71
2023-03-05T10:50Z,7,7,76
2023-03-05T11:20Z,7,6,71
2023-03-05T11:50Z,7,7,71
2023-03-05T12:20Z,8,6,66
2023-03-05T12:50Z,8,5,62
2023-03-05T13:20Z,8,3,62
2023-03-05T13:50Z,8,2,62
2023-03-05T14:20Z,8,3,62
2023-03-05T14:50Z,8,1,62
2023-03-05T15:20Z,8,2,62
2023-03-05T15:50Z,7,3,71
2023-03-05T16:20Z,7,9,71
2023-03-05T16:50Z,7,12,71
2023-03-05T17:20Z,5,13,87
2023-03-05T17:50Z,5,9,87
2023-03-05T18:20Z,4,7,93
2023-03-05T18:50Z,5,8,87
2023-03-05T19:20Z,5,6,87
2023-03-05T19:50Z,5,6,81
2023-03-05T20:20Z,4,3,87
2023-03-05T20:50Z,4,2,87
2023-03-05T21:20Z,4,1,87
2023-03-05T21:50Z,4,2,87
2023-03-05T22:20Z,3,3,93
2023-03-05T22:50Z,3,3,87
2023-03-05T23:20Z,3,3,93
2023-03-06T00:50Z,3,5,87
2023-03-06T01:20Z,3,7,93
2023-03-06T02:20Z,4,9,93
2023-03-06T02:50Z,4,9,93
2023-03-06T03:20Z,4,8,93
2023-03-06T03:50Z,4,9,93
2023-03-06T04:20Z,4,8,93
2023-03-06T04:50Z,4,8,93
2023-03-06T05:50Z,3,8,93
2023-03-06T06:20Z,3,8,93
2023-03-06T06:50Z,3,8,87
2023-03-06T07:20Z,3,6,87
2023-03-06T07:50Z,3,5,87
2023-03-06T08:20Z,4,5,81
2023-03-06T08:50Z,4,7,81
2023-03-06T09:20Z,4,6,87
2023-03-06T09:50Z,5,7,76
2023-03-06T10:20Z,5,9,70
2023-03-06T10:50Z,6,8,66
2023-03-06T11:20Z,6,8,66
2023-03-06T11:50Z,6,7,61
2023-03-06T12:20Z,6,10,57
2023-03-06T12:50Z,7,9,53
2023-03-06T13:50Z,7,9,53
2023-03-06T14:20Z,7,9,49
2023-03-06T14:50Z,6,9,49
2023-03-06T15:20Z,6,9,53
2023-03-06T15:50Z,6,8,49
2023-03-06T16:20Z,6,7,53
2023-03-06T16:50Z,5,7,53
2023-03-06T17:20Z,4,7,56
2023-03-06T17:50Z,3,8,60
2023-03-06T18:20Z,2,5,65
2023-03-06T18:50Z,2,8,65
2023-03-06T19:20Z,2,6,65
2023-03-06T19:50Z,1,1,70
2023-03-06T20:20Z,1,3,70
2023-03-07T00:50Z,1,5,70
2023-03-07T01:20Z,1,6,70
2023-03-07T01:50Z,-1,5,80
2023-03-07T02:20Z,-1,3,80
2023-03-07T02:50Z,-1,2,80
2023-03-07T03:20Z,-2,3,80
2023-03-07T03:50Z,-1,5,75
2023-03-07T04:20Z,-3,5,86
2023-03-07T04:50Z,-3,7,86
2023-03-07T05:20Z,-2,3,74
2023-03-07T05:50Z,-1,3,69
2023-03-07T06:20Z,-3,3,80
2023-03-07T06:50Z,-4,7,86
2023-03-07T07:20Z,-3,7,80
2023-03-07T07:50Z,-3,6,80
2023-03-07T08:20Z,-1,6,75
2023-03-07T08:50Z,0,6,75
2023-03-07T09:20Z,1,6,65
2023-03-07T09:50Z,2,6,60
2023-03-07T10:20Z,2,6,56
2023-03-07T10:50Z,3,5,52
2023-03-07T11:20Z,3,6,48
2023-03-07T11:50Z,4,7,48
2023-03-07T12:20Z,4,8,48
2023-03-07T12:50Z,4,8,45
2023-03-07T13:20Z,5,9,42
2023-03-07T13:50Z,3,7,48
2023-03-07T14:20Z,4,8,42
2023-03-07T14:50Z,4,7,39
2023-03-07T15:20Z,3,7,45
2023-03-07T15:50Z,3,5,45
2023-03-07T16:50Z,4,5,39
2023-03-07T17:20Z,3,3,41
2023-03-07T17:50Z,2,2,48
2023-03-07T18:20Z,0,6,55
2023-03-07T18:50Z,-1,6,64
2023-03-07T19:20Z,-2,1,69
2023-03-08T00:50Z,-5,1,86
2023-03-08T01:20Z,-6,3,86
2023-03-08T01:50Z,-6,1,86
2023-03-08T02:20Z,-6,1,86
2023-03-08T02:50Z,-7,1,86
2023-03-08T03:20Z,-7,1,93
2023-03-08T03:50Z,-8,2,93
2023-03-08T04:20Z,-8,3,93
2023-03-08T04:50Z,-7,1,86
2023-03-08T05:20Z,-8,2,93
2023-03-08T05:50Z,-9,0,93
2023-03-08T06:20Z,-8,3,93
2023-03-08T06:50Z,-8,0,93
2023-03-08T07:20Z,-8,3,93
2023-03-08T07:50Z,-6,1,93
2023-03-08T08:20Z,-4,3,86
2023-03-08T08:50Z,-3,3,86
2023-03-08T09:20Z,-1,2,80
2023-03-08T09:50Z,1,2,70
2023-03-08T10:20Z,2,5,70
2023-03-08T10:50Z,2,7,70
2023-03-08T11:20Z,2,8,65
2023-03-08T11:50Z,3,9,56
2023-03-08T12:50Z,3,10,56
2023-03-08T13:20Z,3,8,60
2023-03-08T13:50Z,3,12,65
2023-03-08T14:20Z,3,12,65
2023-03-08T14:50Z,4,1,56
2023-03-08T15:20Z,3,13,65
2023-03-08T15:50Z,3,13,60
2023-03-08T16:20Z,3,12,65
2023-03-08T16:50Z,3,9,65
2023-03-08T17:20Z,2,10,70
2023-03-08T17:50Z,1,8,70
2023-03-08T18:50Z,1,5,70
2023-03-08T19:20Z,1,9,75
2023-03-08T19:50Z,-1,5,93
2023-03-09T00:50Z,-4,1,100
2023-03-09T01:20Z,-4,1,100
2023-03-09T01:50Z,-3,3,100
2023-03-09T02:20Z,-2,1,100
2023-03-09T02:50Z,-1,6,100
2023-03-09T03:20Z,-2,2,93
2023-03-09T04:20Z,-3,1,93
2023-03-09T04:50Z,-4,1,93
2023-03-09T05:20Z,-5,3,100
2023-03-09T05:50Z,-5,2,93
2023-03-09T06:20Z,-5,2,93
2023-03-09T06:50Z,-5,1,93
2023-03-09T07:20Z,-6,1,100
2023-03-09T08:20Z,-2,5,100
2023-03-09T08:50Z,-1,5,93
2023-03-09T09:20Z,0,9,87
2023-03-09T09:50Z,1,10,81
2023-03-09T10:20Z,1,12,87
2023-03-09T10:50Z,1,12,87
2023-03-09T11:20Z,2,14,81
2023-03-09T11:50Z,2,15,81
2023-03-09T12:50Z,3,15,75
2023-03-09T13:20Z,3,15,75
2023-03-09T13:50Z,3,15,75
2023-03-09T14:20Z,3,14,75
2023-03-09T14:50Z,3,16,75
2023-03-09T15:20Z,4,16,70
2023-03-09T15:50Z,3,16,70
2023-03-09T16:20Z,3,16,70
2023-03-09T16:50Z,3,14,75
2023-03-09T17:20Z,3,15,65
2023-03-09T17:50Z,3,13,70
2023-03-09T18:20Z,3,17,65
2023-03-09T18:50Z,3,14,70
2023-03-09T19:20Z,2,15,75
2023-03-09T20:20Z,2,15,81
2023-03-09T20:50Z,2,14,75
2023-03-10T00:50Z,2,13,65
2023-03-10T01:20Z,2,12,60
2023-03-10T01:50Z,2,9,60
2023-03-10T02:20Z,2,12,60
2023-03-10T02:50Z,2,9,60
2023-03-10T03:20Z,2,12,60
2023-03-10T03:50Z,1,7,65
2023-03-10T04:20Z,1,8,65
2023-03-10T04:50Z,1,8,65
2023-03-10T05:20Z,1,3,65
2023-03-10T05:50Z,0,3,69
2023-03-10T06:50Z,-1,1,75
2023-03-10T07:20Z,0,2,69
2023-03-10T07:50Z,0,3,69
2023-03-10T08:20Z,1,6,70
2023-03-10T08:50Z,2,5,60
2023-03-10T09:20Z,2,6,65
2023-03-10T09:50Z,3,5,60
2023-03-10T10:20Z,4,6,56
2023-03-10T10:50Z,4,6,52
2023-03-10T11:20Z,5,5,53
2023-03-10T11:50Z,5,5,45
2023-03-10T12:20Z,5,7,45
2023-03-10T12:50Z,6,6,42
2023-03-10T13:20Z,6,8,39
2023-03-10T13:50Z,6,10,39
2023-03-10T14:20Z,7,9,37
2023-03-10T14:50Z,7,9,31
2023-03-10T15:20Z,7,9,31
2023-03-10T15:50Z,6,9,31
2023-03-10T16:20Z,6,8,36
2023-03-10T16:50Z,6,8,34
2023-03-10T17:20Z,5,6,39
2023-03-10T17:50Z,4,3,45
2023-03-10T18:50Z,2,7,60
2023-03-10T19:20Z,0,7,69
2023-03-10T19:50Z,-2,7,74
2023-03-11T00:50Z,0,6,80
2023-03-11T01:20Z,-1,6,86
2023-03-11T01:50Z,-1,5,86
2023-03-11T02:20Z,-3,6,93
2023-03-11T02:50Z,-2,2,93
